google_folder_id,google_folder_name,google_folder_color_rgb,google_folder_url
19O1fTARaGitGq4LdzAYKgF4gIbwS7bh-,03. GIÀNG THỊ CHÁ,#8f8f8f,https://drive.google.com/drive/folders/19O1fTARaGitGq4LdzAYKgF4gIbwS7bh-
1ocMwuciGPg4OoggzdjefOaETHOw-cihI,03. Lù Mí Hương,#8f8f8f,https://drive.google.com/drive/folders/1ocMwuciGPg4OoggzdjefOaETHOw-cihI
1u1ErBnBh9dg1pOm_AxwZLz2d442tc083,03. TOÀN TRƯỜNG PHAI ẢNH 2025-2026,#8f8f8f,https://drive.google.com/drive/folders/1u1ErBnBh9dg1pOm_AxwZLz2d442tc083
1HdwJet0MWQHVUgIkwu9plmc17ovRYy_t,03. TRƯỜNG TIỂU HỌC CAI KINH,#8f8f8f,https://drive.google.com/drive/folders/1HdwJet0MWQHVUgIkwu9plmc17ovRYy_t
1c3r2C-2-nMZQmXi7mE9YN5NqqB_eOVfg,04 Giàng Thị Mến,#8f8f8f,https://drive.google.com/drive/folders/1c3r2C-2-nMZQmXi7mE9YN5NqqB_eOVfg
1NUpblF6ojmfIkFyRRuXT5cJj2y82_yJn,04 LY THỊ THƯƠNG,#8f8f8f,https://drive.google.com/drive/folders/1NUpblF6ojmfIkFyRRuXT5cJj2y82_yJn
1UZtCifQPkYhT0kRNDSl7S516ASqqmn-Z,04 Mẫu Giáo Hoa Phong Lan,#8f8f8f,https://drive.google.com/drive/folders/1UZtCifQPkYhT0kRNDSl7S516ASqqmn-Z
1e0V9LeCVwS9s0iNUsd4FfghGRo8W8lv-,04 Mầm non Tân Phúc,#8f8f8f,https://drive.google.com/drive/folders/1e0V9LeCVwS9s0iNUsd4FfghGRo8W8lv-
1KNeq_Othn21JMH0RISryOtW8AjQoCsd9,04 THÀO QUỲNH HƯƠNG,#8f8f8f,https://drive.google.com/drive/folders/1KNeq_Othn21JMH0RISryOtW8AjQoCsd9
18qARWfvGYFwoezUJqCf5zNvMeeeTN12h,04 Trường Mầm non Bình Minh Đak Pơ,#8f8f8f,https://drive.google.com/drive/folders/18qARWfvGYFwoezUJqCf5zNvMeeeTN12h
1lPYjPjVmTjSP1yrtVdEmiWpsH3Hj1occ,04-Chảo Anh Thư,#8f8f8f,https://drive.google.com/drive/folders/1lPYjPjVmTjSP1yrtVdEmiWpsH3Hj1occ
